Label,SkyC_1,SkyC_2,SkyC_3,SkyC_4,SkyC_5,SkyC_6,SkyC_7,SkyC_8,SkyC_9,SkyC_10,SkyC_11,SkyC_12,SkyC_Source,wind_ms_1,wind_ms_2,wind_ms_3,wind_ms_4,wind_ms_5,wind_ms_6,wind_ms_7,wind_ms_8,wind_ms_9,wind_ms_10,wind_ms_11,wind_ms_12,Wind_Source,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RH_8,RH_9,RH_10,RH_11,RH_12,RH_Source,snowd_1,snowd_2,snowd_3,snowd_4,snowd_5,snowd_6,snowd_7,snowd_8,snowd_9,snowd_10,snowd_11,snowd_12,SnowD_Hemisphere,SnowD_Source
UseInformationToCreateSoilWatRuns,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00133_StudyDelineation,72.40278656,68.25735725,68.14684964,70.48443125,68.14684964,68.36794544,68.92209509,68.92209509,66.93658421,66.49890509,69.36686525,71.15883869,"flxf06.gdas.T_CDC.EATM.grb2 (cloud cover) converted to sunshine percent according to FAO24 (Doorenbos et al. 1975, Hulme et al. 1995) and then converted to sky cover, from ds093.2 - NCEP Climate Forecast System Reanalysis (CFSR) Monthly Products, January 1979 to December 2010, 0.313-deg: monthly mean (4 per day) of forecasts of 6-hour average",5.7,5.2,4.5,4.3,3.3,3.3,3.5,3.8,3.9,5.1,5.8,5.7,"flxf06.gdas.WND.10m.grb2 from ds093.2 - NCEP Climate Forecast System Reanalysis (CFSR) Monthly Products, January 1979 to December 2010, 0.313-deg: monthly mean (4 per day) of forecasts of 6-hour average",71.9,73.5,77.3,81.8,85.6,86.1,85.8,84.6,81.1,75.7,72.1,71.1,"pgbh06.gdas.R_H.2m.grb2 at 0.5-deg from ds093.2 - NCEP Climate Forecast System Reanalysis (CFSR) Monthly Products, January 1979 to December 2010, 0.313-deg: monthly mean (4 per day) of forecasts of 6-hour average",213.7,241.6,261,308,398.1,464.5,76,76,76,140,161.6,185.1,N,"Prairie in Brown RD, Mote PW (2009) The response of Northern Hemisphere snow cover to a changing climate. Journal of Climate, 22, 2124-2145."
