Label,Composition_GrassFraction,Composition_ShrubFraction,Composition_TreeFraction,Composition_ForbFraction,Composition_BareGround,BareGround_Albedo,Grass_Albedo,Grass_CanopyHeight_Constant_cm,Grass_HydRed_OnOff,Grass_SWPcrit_MPa,Grass_Litter_m1,Grass_Litter_m2,Grass_Litter_m3,Grass_Litter_m4,Grass_Litter_m5,Grass_Litter_m6,Grass_Litter_m7,Grass_Litter_m8,Grass_Litter_m9,Grass_Litter_m10,Grass_Litter_m11,Grass_Litter_m12,Grass_Biomass_m1,Grass_Biomass_m2,Grass_Biomass_m3,Grass_Biomass_m4,Grass_Biomass_m5,Grass_Biomass_m6,Grass_Biomass_m7,Grass_Biomass_m8,Grass_Biomass_m9,Grass_Biomass_m10,Grass_Biomass_m11,Grass_Biomass_m12,Grass_FractionLive_m1,Grass_FractionLive_m2,Grass_FractionLive_m3,Grass_FractionLive_m4,Grass_FractionLive_m5,Grass_FractionLive_m6,Grass_FractionLive_m7,Grass_FractionLive_m8,Grass_FractionLive_m9,Grass_FractionLive_m10,Grass_FractionLive_m11,Grass_FractionLive_m12,Grass_LAIconv_m1,Grass_LAIconv_m2,Grass_LAIconv_m3,Grass_LAIconv_m4,Grass_LAIconv_m5,Grass_LAIconv_m6,Grass_LAIconv_m7,Grass_LAIconv_m8,Grass_LAIconv_m9,Grass_LAIconv_m10,Grass_LAIconv_m11,Grass_LAIconv_m12,Shrub_Albedo,Shrub_CanopyHeight_Constant_cm,Shrub_HydRed_OnOff,Shrub_SWPcrit_MPa,Shrub_Litter_m1,Shrub_Litter_m2,Shrub_Litter_m3,Shrub_Litter_m4,Shrub_Litter_m5,Shrub_Litter_m6,Shrub_Litter_m7,Shrub_Litter_m8,Shrub_Litter_m9,Shrub_Litter_m10,Shrub_Litter_m11,Shrub_Litter_m12,Shrub_Biomass_m1,Shrub_Biomass_m2,Shrub_Biomass_m3,Shrub_Biomass_m4,Shrub_Biomass_m5,Shrub_Biomass_m6,Shrub_Biomass_m7,Shrub_Biomass_m8,Shrub_Biomass_m9,Shrub_Biomass_m10,Shrub_Biomass_m11,Shrub_Biomass_m12,Shrub_FractionLive_m1,Shrub_FractionLive_m2,Shrub_FractionLive_m3,Shrub_FractionLive_m4,Shrub_FractionLive_m5,Shrub_FractionLive_m6,Shrub_FractionLive_m7,Shrub_FractionLive_m8,Shrub_FractionLive_m9,Shrub_FractionLive_m10,Shrub_FractionLive_m11,Shrub_FractionLive_m12,Shrub_LAIconv_m1,Shrub_LAIconv_m2,Shrub_LAIconv_m3,Shrub_LAIconv_m4,Shrub_LAIconv_m5,Shrub_LAIconv_m6,Shrub_LAIconv_m7,Shrub_LAIconv_m8,Shrub_LAIconv_m9,Shrub_LAIconv_m10,Shrub_LAIconv_m11,Shrub_LAIconv_m12,Tree_Albedo,Tree_CanopyHeight_Constant_cm,Tree_HydRed_OnOff,Tree_SWPcrit_MPa,Tree_Litter_m1,Tree_Litter_m2,Tree_Litter_m3,Tree_Litter_m4,Tree_Litter_m5,Tree_Litter_m6,Tree_Litter_m7,Tree_Litter_m8,Tree_Litter_m9,Tree_Litter_m10,Tree_Litter_m11,Tree_Litter_m12,Tree_Biomass_m1,Tree_Biomass_m2,Tree_Biomass_m3,Tree_Biomass_m4,Tree_Biomass_m5,Tree_Biomass_m6,Tree_Biomass_m7,Tree_Biomass_m8,Tree_Biomass_m9,Tree_Biomass_m10,Tree_Biomass_m11,Tree_Biomass_m12,Tree_FractionLive_m1,Tree_FractionLive_m2,Tree_FractionLive_m3,Tree_FractionLive_m4,Tree_FractionLive_m5,Tree_FractionLive_m6,Tree_FractionLive_m7,Tree_FractionLive_m8,Tree_FractionLive_m9,Tree_FractionLive_m10,Tree_FractionLive_m11,Tree_FractionLive_m12,Tree_LAIconv_m1,Tree_LAIconv_m2,Tree_LAIconv_m3,Tree_LAIconv_m4,Tree_LAIconv_m5,Tree_LAIconv_m6,Tree_LAIconv_m7,Tree_LAIconv_m8,Tree_LAIconv_m9,Tree_LAIconv_m10,Tree_LAIconv_m11,Tree_LAIconv_m12,Forb_Albedo,Forb_CanopyHeight_Constant_cm,Forb_HydRed_OnOff,Forb_SWPcrit_MPa,Forb_Litter_m1,Forb_Litter_m2,Forb_Litter_m3,Forb_Litter_m4,Forb_Litter_m5,Forb_Litter_m6,Forb_Litter_m7,Forb_Litter_m8,Forb_Litter_m9,Forb_Litter_m10,Forb_Litter_m11,Forb_Litter_m12,Forb_Biomass_m1,Forb_Biomass_m2,Forb_Biomass_m3,Forb_Biomass_m4,Forb_Biomass_m5,Forb_Biomass_m6,Forb_Biomass_m7,Forb_Biomass_m8,Forb_Biomass_m9,Forb_Biomass_m10,Forb_Biomass_m11,Forb_Biomass_m12,Forb_FractionLive_m1,Forb_FractionLive_m2,Forb_FractionLive_m3,Forb_FractionLive_m4,Forb_FractionLive_m5,Forb_FractionLive_m6,Forb_FractionLive_m7,Forb_FractionLive_m8,Forb_FractionLive_m9,Forb_FractionLive_m10,Forb_FractionLive_m11,Forb_FractionLive_m12,Forb_LAIconv_m1,Forb_LAIconv_m2,Forb_LAIconv_m3,Forb_LAIconv_m4,Forb_LAIconv_m5,Forb_LAIconv_m6,Forb_LAIconv_m7,Forb_LAIconv_m8,Forb_LAIconv_m9,Forb_LAIconv_m10,Forb_LAIconv_m11,Forb_LAIconv_m12
BHEF_100,0.03,NA,0.97,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,134.2357648,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,11843.45705,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,0.062556285,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,309.9927533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_120,0.025,NA,0.975,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,150,150,150,150,150,150,150,150,150,150,150,150,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,12932.3267,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,0.063091081,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_20,0.15,NA,0.85,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,36.0080177,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,3653.606726,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,0.059737402,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_40,0.08,NA,0.92,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,65.50455495,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,6180.73602,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,0.061053975,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,258.4647275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_60,0.05,NA,0.95,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,93.10180911,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,8567.72714,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,0.061574124,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,274.7657775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_80,0.04,NA,0.96,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,114.6436137,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,10356.78024,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,0.061953611,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,302.6603451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHEF_Control,0.005,NA,0.995,NA,NA,NA,NA,NA,NA,NA,740.3097982,694.8441221,688.8738818,688.8738818,688.8738818,728.4911212,971.3462876,1210.971235,1033.979372,861.0923521,803.6861952,802.648503,401.8430976,401.8430976,411.9465812,430.5461761,459.2492545,394.2654848,197.4771794,261.5424504,270.0385616,373.1400191,373.1400191,391.7396139,0.001,0.001,0.001,0.001,0.1,0.2956,0.7808,0.9072,0.7728,0.25,0.1,0.035848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1829,NA,NA,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,97.36619382,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,8007.934198,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,0.064490087,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,315.0248925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF_100,0.03,NA,0.97,NA,NA,NA,NA,NA,NA,NA,844.21951,810.4507294,810.4507294,810.4507294,874.9799036,1022.859816,1311.37378,1390.906848,1151.867772,1013.063412,945.5258512,942.0656724,472.7629255,478.0392976,506.5317061,540.3004864,539.8314755,235.1307672,268.0396944,303.9190236,327.7604079,438.9941452,438.9941452,467.4865536,0.001,0.001,0.001,0.1,0.271527778,0.542592593,0.903125,0.92037037,0.703240741,0.25,0.1,0.01646875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.4,NA,NA,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,117.2325859,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,14675.5722,0.058220117,0.058220117,0.058220117,0.058220117,0.058491802,0.058763487,0.058763487,0.058763487,0.058627645,0.058491802,0.058220117,0.058220117,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF_120,0.025,NA,0.975,NA,NA,NA,NA,NA,NA,NA,844.21951,810.4507294,810.4507294,810.4507294,874.9799036,1022.859816,1311.37378,1390.906848,1151.867772,1013.063412,945.5258512,942.0656724,472.7629255,478.0392976,506.5317061,540.3004864,539.8314755,235.1307672,268.0396944,303.9190236,327.7604079,438.9941452,438.9941452,467.4865536,0.001,0.001,0.001,0.1,0.271527778,0.542592593,0.903125,0.92037037,0.703240741,0.25,0.1,0.01646875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.4,NA,NA,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,138.3560514,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,16343.60845,0.059722396,0.059722396,0.059722396,0.059756143,0.059789889,0.059789889,0.059789889,0.059789889,0.059773016,0.059756143,0.059722396,0.059722396,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF_140,0.02,NA,0.98,NA,NA,NA,NA,NA,NA,NA,844.21951,810.4507294,810.4507294,810.4507294,874.9799036,1022.859816,1311.37378,1390.906848,1151.867772,1013.063412,945.5258512,942.0656724,472.7629255,478.0392976,506.5317061,540.3004864,539.8314755,235.1307672,268.0396944,303.9190236,327.7604079,438.9941452,438.9941452,467.4865536,0.001,0.001,0.001,0.1,0.271527778,0.542592593,0.903125,0.92037037,0.703240741,0.25,0.1,0.01646875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.4,NA,NA,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,158.4856056,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,19157.92553,0.059178256,0.059178256,0.059178256,0.05929266,0.059407063,0.059407063,0.059407063,0.059407063,0.059349861,0.05929266,0.059178256,0.059178256,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF_60,0.05,NA,0.95,NA,NA,NA,NA,NA,NA,NA,844.21951,810.4507294,810.4507294,810.4507294,874.9799036,1022.859816,1311.37378,1390.906848,1151.867772,1013.063412,945.5258512,942.0656724,472.7629255,478.0392976,506.5317061,540.3004864,539.8314755,235.1307672,268.0396944,303.9190236,327.7604079,438.9941452,438.9941452,467.4865536,0.001,0.001,0.001,0.1,0.271527778,0.542592593,0.903125,0.92037037,0.703240741,0.25,0.1,0.01646875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.4,NA,NA,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,77.98775018,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,10275.50478,0.05676386,0.05676386,0.05676386,0.057280935,0.057798009,0.057798009,0.057798009,0.057798009,0.057539472,0.057280935,0.05676386,0.05676386,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEF_80,0.04,NA,0.96,NA,NA,NA,NA,NA,NA,NA,844.21951,810.4507294,810.4507294,810.4507294,874.9799036,1022.859816,1311.37378,1390.906848,1151.867772,1013.063412,945.5258512,942.0656724,472.7629255,478.0392976,506.5317061,540.3004864,539.8314755,235.1307672,268.0396944,303.9190236,327.7604079,438.9941452,438.9941452,467.4865536,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200.4,NA,NA,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,98.67137398,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,12618.04012,0.058200316,0.058200316,0.058200316,0.058320849,0.058441383,0.058441383,0.058441383,0.058441383,0.058381116,0.058320849,0.058200316,0.058200316,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,335.8015602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
