Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_862_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.284,1.284,1.284,0.7,0.7,0.7,0.7,0.7,0.7,1.284,1.284,1.284,0.716,0.716,0.716,1.3,1.3,1.3,1.3,1.3,1.3,0.716,0.716,0.716
MS1_bs_885_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.15,1.15,1.15,0.7,0.7,0.7,0.7,0.7,0.7,1.15,1.15,1.15,0.85,0.85,0.85,1.3,1.3,1.3,1.3,1.3,1.3,0.85,0.85,0.85
MS1_bs_906_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.227,1.227,1.227,0.7,0.7,0.7,0.7,0.7,0.7,1.227,1.227,1.227,0.773,0.773,0.773,1.3,1.3,1.3,1.3,1.3,1.3,0.773,0.773,0.773
MS1_bs_918_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.271,1.271,1.271,0.7,0.7,0.7,0.7,0.7,0.7,1.271,1.271,1.271,0.729,0.729,0.729,1.3,1.3,1.3,1.3,1.3,1.3,0.729,0.729,0.729
MS1_bs_923_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,1.25,0.7,0.7,0.7,0.7,0.7,0.7,1.25,1.25,1.25,0.75,0.75,0.75,1.3,1.3,1.3,1.3,1.3,1.3,0.75,0.75,0.75
MS1_bs_931_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.289,1.289,1.289,0.7,0.7,0.7,0.7,0.7,0.7,1.289,1.289,1.289,0.711,0.711,0.711,1.3,1.3,1.3,1.3,1.3,1.3,0.711,0.711,0.711
MS1_bs_962_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.162,1.162,1.162,0.7,0.7,0.7,0.7,0.7,0.7,1.162,1.162,1.162,0.838,0.838,0.838,1.3,1.3,1.3,1.3,1.3,1.3,0.838,0.838,0.838
MS1_bs_986_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.223,1.223,1.223,0.7,0.7,0.7,0.7,0.7,0.7,1.223,1.223,1.223,0.777,0.777,0.777,1.3,1.3,1.3,1.3,1.3,1.3,0.777,0.777,0.777
MS1_bs_1014_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.263,1.263,1.263,0.7,0.7,0.7,0.7,0.7,0.7,1.263,1.263,1.263,0.737,0.737,0.737,1.3,1.3,1.3,1.3,1.3,1.3,0.737,0.737,0.737
MS1_bs_1044_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.151,1.151,1.151,0.7,0.7,0.7,0.7,0.7,0.7,1.151,1.151,1.151,0.849,0.849,0.849,1.3,1.3,1.3,1.3,1.3,1.3,0.849,0.849,0.849
MS1_bs_1071_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.163,1.163,1.163,0.7,0.7,0.7,0.7,0.7,0.7,1.163,1.163,1.163,0.837,0.837,0.837,1.3,1.3,1.3,1.3,1.3,1.3,0.837,0.837,0.837
MS1_bs_1077_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.79,1.79,1.79,0.7,0.7,0.7,0.7,0.7,0.7,1.79,1.79,1.79,0.21,0.21,0.21,1.3,1.3,1.3,1.3,1.3,1.3,0.21,0.21,0.21
