Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_1633_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.331,1.331,1.331,0.7,0.7,0.7,0.7,0.7,0.7,1.331,1.331,1.331,0.669,0.669,0.669,1.3,1.3,1.3,1.3,1.3,1.3,0.669,0.669,0.669
MS1_bs_1643_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,0.7,0.7,0.7,0.7,0.7,0.7,1.4,1.4,1.4,0.6,0.6,0.6,1.3,1.3,1.3,1.3,1.3,1.3,0.6,0.6,0.6
MS1_bs_1652_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.337,1.337,1.337,0.7,0.7,0.7,0.7,0.7,0.7,1.337,1.337,1.337,0.663,0.663,0.663,1.3,1.3,1.3,1.3,1.3,1.3,0.663,0.663,0.663
MS1_bs_1663_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.29,1.29,1.29,0.7,0.7,0.7,0.7,0.7,0.7,1.29,1.29,1.29,0.71,0.71,0.71,1.3,1.3,1.3,1.3,1.3,1.3,0.71,0.71,0.71
MS1_bs_1667_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.296,1.296,1.296,0.7,0.7,0.7,0.7,0.7,0.7,1.296,1.296,1.296,0.704,0.704,0.704,1.3,1.3,1.3,1.3,1.3,1.3,0.704,0.704,0.704
MS1_bs_1681_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.077,1.077,1.077,0.7,0.7,0.7,0.7,0.7,0.7,1.077,1.077,1.077,0.923,0.923,0.923,1.3,1.3,1.3,1.3,1.3,1.3,0.923,0.923,0.923
MS1_bs_1695_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.507,1.507,1.507,0.7,0.7,0.7,0.7,0.7,0.7,1.507,1.507,1.507,0.493,0.493,0.493,1.3,1.3,1.3,1.3,1.3,1.3,0.493,0.493,0.493
MS1_bs_1731_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.307,1.307,1.307,0.7,0.7,0.7,0.7,0.7,0.7,1.307,1.307,1.307,0.693,0.693,0.693,1.3,1.3,1.3,1.3,1.3,1.3,0.693,0.693,0.693
MS1_bs_1741_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.066,1.066,1.066,0.7,0.7,0.7,0.7,0.7,0.7,1.066,1.066,1.066,0.934,0.934,0.934,1.3,1.3,1.3,1.3,1.3,1.3,0.934,0.934,0.934
MS1_bs_1742_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.053,1.053,1.053,0.7,0.7,0.7,0.7,0.7,0.7,1.053,1.053,1.053,0.947,0.947,0.947,1.3,1.3,1.3,1.3,1.3,1.3,0.947,0.947,0.947
