,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,,33,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010875518,0.011165014,0.010919758,0.010875518
,,34,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010629673,0.010768448,0.010493887,0.010629673
,,35,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010389385,0.010385968,0.010084626,0.010389385
,,36,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.01015453,0.010017073,0.009691325,0.01015453
,,37,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009924983,0.00966128,0.009313364,0.009924983
,,38,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009700625,0.009318125,0.008950143,0.009700625
,,39,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009481339,0.008987158,0.008601087,0.009481339
,,40,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.00926701,0.008667947,0.008265645,0.00926701
,,41,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.009057525,0.008360074,0.007943284,0.009057525
,,42,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008852777,0.008063135,0.007633496,0.008852777
,,43,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008652656,0.007776744,0.00733579,0.008652656
,,44,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.00845706,0.007500525,0.007049694,0.00845706
,,45,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008265885,0.007234117,0.006774756,0.008265885
,,46,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.008079032,0.006977171,0.006510541,0.008079032
,,47,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007896402,0.006729352,0.00625663,0.007896402
,,48,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007717901,0.006490335,0.006012621,0.007717901
,,49,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007543435,0.006259807,0.005778129,0.007543435
,,50,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007372913,0.006037468,0.005552782,0.007372913
,,51,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007206246,0.005823025,0.005336223,0.007206246
,,52,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007043346,0.005616199,0.005128111,0.007043346
,,53,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006884128,0.00541672,0.004928114,0.006884128
,,54,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.00672851,0.005224326,0.004735918,0.00672851
,,55,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.00657641,0.005038765,0.004551217,0.00657641
