,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,,145,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.00084001,0,0,0.00084001
,,146,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000821021,0,0,0.000821021
,,147,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000802462,0,0,0.000802462
,,148,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000784322,0,0,0.000784322
,,149,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000766592,0,0,0.000766592
,,150,,0.000299494,,,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000749263,0,0,0.000749263
,,151,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000732325,0,0,0.000732325
,,152,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000715771,0,0,0.000715771
,,153,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000699591,0,0,0.000699591
,,154,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000683776,0,0,0.000683776
,,155,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000668319,0,0,0.000668319
,,156,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000653212,0,0,0.000653212
,,157,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000638445,0,0,0.000638445
,,158,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000624013,0,0,0.000624013
,,159,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000609907,0,0,0.000609907
,,160,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00059612,0,0,0.00059612
,,161,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000582644,0,0,0.000582644
,,162,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000569474,0,0,0.000569474
,,163,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.0005566,0,0,0.0005566
,,164,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000544018,0,0,0.000544018
,,165,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000531721,0,0,0.000531721
,,166,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000519701,0,0,0.000519701
,,167,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000507953,0,0,0.000507953
,,168,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00049647,0,0,0.00049647
,,169,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000485247,0,0,0.000485247
,,170,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000474278,0,0,0.000474278
,,171,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000463557,0,0,0.000463557
,,172,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000453078,0,0,0.000453078
,,173,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000442836,0,0,0.000442836
,,174,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000432826,0,0,0.000432826
,,175,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000423041,0,0,0.000423041
,,176,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000413478,0,0,0.000413478
,,177,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000404132,0,0,0.000404132
,,178,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000394996,0,0,0.000394996
,,179,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000386067,0,0,0.000386067
,,180,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00037734,0,0,0.00037734
,,181,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00036881,0,0,0.00036881
,,182,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000360473,0,0,0.000360473
,,183,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000352324,0,0,0.000352324
,,184,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00034436,0,0,0.00034436
,,185,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000336575,0,0,0.000336575
,,186,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000328967,0,0,0.000328967
,,187,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000321531,0,0,0.000321531
,,188,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000314262,0,0,0.000314262
,,189,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000307158,0,0,0.000307158
,,190,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000300215,0,0,0.000300215
,,191,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000293428,0,0,0.000293428
,,192,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000286795,0,0,0.000286795
,,193,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000280312,0,0,0.000280312
,,194,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000273976,0,0,0.000273976
,,195,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000267782,0,0,0.000267782
,,196,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000261729,0,0,0.000261729
,,197,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000255813,0,0,0.000255813
,,198,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.00025003,0,0,0.00025003
,,199,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000244378,0,0,0.000244378
,,200,,0.0000207,,,0.000158117,0.00000807,0.005,,,,0.000238854,0,0,0.000238854
,,201,,,,,,,,,,,0.000233454,0,0,0.000233454
,,202,,,,,,,,,,,0,0,0,0
,,203,,,,,,,,,,,0,0,0,0
,,204,,,,,,,,,,,0,0,0,0
,,205,,,,,,,,,,,0,0,0,0
,,206,,,,,,,,,,,0,0,0,0
,,207,,,,,,,,,,,0,0,0,0
,,208,,,,,,,,,,,0,0,0,0
,,209,,,,,,,,,,,0,0,0,0
,,210,,,,,,,,,,,0,0,0,0
,,211,,,,,,,,,,,0,0,0,0
,,212,,,,,,,,,,,0,0,0,0
,,213,,,,,,,,,,,0,0,0,0
,,214,,,,,,,,,,,0,0,0,0
,,215,,,,,,,,,,,0,0,0,0
,,216,,,,,,,,,,,0,0,0,0
,,217,,,,,,,,,,,0,0,0,0
,,218,,,,,,,,,,,0,0,0,0
,,219,,,,,,,,,,,0,0,0,0
,,220,,,,,,,,,,,0,0,0,0
,,221,,,,,,,,,,,0,0,0,0
,,222,,,,,,,,,,,0,0,0,0
,,223,,,,,,,,,,,0,0,0,0
,,224,,,,,,,,,,,0,0,0,0
,,225,,,,,,,,,,,0,0,0,0
,,226,,,,,,,,,,,0,0,0,0
,,227,,,,,,,,,,,0,0,0,0
,,228,,,,,,,,,,,0,0,0,0
,,229,,,,,,,,,,,0,0,0,0
,,230,,,,,,,,,,,0,0,0,0
,,231,,,,,,,,,,,0,0,0,0
,,232,,,,,,,,,,,0,0,0,0
,,233,,,,,,,,,,,0,0,0,0
,,234,,,,,,,,,,,0,0,0,0
,,235,,,,,,,,,,,0,0,0,0
,,236,,,,,,,,,,,0,0,0,0
,,237,,,,,,,,,,,0,0,0,0
,,238,,,,,,,,,,,0,0,0,0
,,239,,,,,,,,,,,0,0,0,0
,,240,,,,,,,,,,,0,0,0,0
,,241,,,,,,,,,,,0,0,0,0
,,242,,,,,,,,,,,0,0,0,0
,,243,,,,,,,,,,,0,0,0,0
,,244,,,,,,,,,,,0,0,0,0
,,245,,,,,,,,,,,0,0,0,0
,,246,,,,,,,,,,,0,0,0,0
,,247,,,,,,,,,,,0,0,0,0
,,248,,,,,,,,,,,0,0,0,0
,,249,,,,,,,,,,,0,0,0,0
,,250,,,,,,,,,,,0,0,0,0
