,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,Shrub_MaxRoot010,C3_MaxRoot010,C4_MaxRoot010,Shrub_MaxRoot025,C3_MaxRoot025,C4_MaxRoot025,Shrub_MaxRoot050,C3_MaxRoot050,C4_MaxRoot050,Shrub_MaxRoot100,C3_MaxRoot100,C4_MaxRoot100,Shrub_MaxRoot200,C3_MaxRoot200,C4_MaxRoot200
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,MaxRoot010,,,MaxRoot025,,,MaxRoot050,,,MaxRoot100,,,MaxRoot200,,
,L15,15,0.034474051,0.017583578,0.012416667,0.028,0.03886502,0.039583235,0.005,0.0175,0.025076242,0.0175,0.016413109,0.021407692,0.022345601,0,0,0,0.025922949,0.02451492,0.010632192,0.026099965,0.026021285,0.023757982,0.018519717,0.018958303,0.02512076,0.011031243,0.018958303,0.02512076
,L16,16,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.016042085,0.02064732,0.021474122,0,0,0,0.019583403,0.018145321,0.005966403,0.0226325,0.02232693,0.017611233,0.017235649,0.017549187,0.021570884,0.010640397,0.017549187,0.021570884
,L17,17,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.015679447,0.019913957,0.020636632,0,0,0,0.019583403,0.018145321,0.005966403,0.0226325,0.02232693,0.017611233,0.017235649,0.017549187,0.021570884,0.010640397,0.017549187,0.021570884
,L18,18,0.034474051,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.015325008,0.019206641,0.019831803,0,0,0,0.019583403,0.018145321,0.005966403,0.0226325,0.02232693,0.017611233,0.017235649,0.017549187,0.021570884,0.010640397,0.017549187,0.021570884
,L19,19,0.006020819,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.01497858,0.018524448,0.019058363,0,0,0,0.019583403,0.018145321,0.005966403,0.0226325,0.02232693,0.017611233,0.017235649,0.017549187,0.021570884,0.010640397,0.017549187,0.021570884
,L20,20,0.006020819,0.017583578,0.0226,0.014,0.011287464,0.011688716,0.005,0.0175,0.025076242,0.0175,0.014639984,0.017866485,0.018315086,0,0,0,0.019583403,0.018145321,0.005966403,0.0226325,0.02232693,0.017611233,0.017235649,0.017549187,0.021570884,0.010640397,0.017549187,0.021570884
,,21,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.014309042,0.017231893,0.017600798,0,0,0,0.011884848,0.011044956,0.001294957,0.017777319,0.017220456,0.010504545,0.015275468,0.015412207,0.016659489,0.010017083,0.015412207,0.016659489
,,22,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.013985581,0.01661984,0.016914367,0,0,0,0.011884848,0.011044956,0.001294957,0.017777319,0.017220456,0.010504545,0.015275468,0.015412207,0.016659489,0.010017083,0.015412207,0.016659489
,,23,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.013669432,0.016029526,0.016254707,0,0,0,0.011884848,0.011044956,0.001294957,0.017777319,0.017220456,0.010504545,0.015275468,0.015412207,0.016659489,0.010017083,0.015412207,0.016659489
,,24,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.013360429,0.01546018,0.015620773,0,0,0,0.011884848,0.011044956,0.001294957,0.017777319,0.017220456,0.010504545,0.015275468,0.015412207,0.016659489,0.010017083,0.015412207,0.016659489
,,25,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.013058412,0.014911056,0.015011563,0,0,0,0.011884848,0.011044956,0.001294957,0.017777319,0.017220456,0.010504545,0.015275468,0.015412207,0.016659489,0.010017083,0.015412207,0.016659489
,,26,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.012763221,0.014381436,0.014426112,0,0,0,0,0,0,0.013963685,0.013281902,0.00626563,0.013538215,0.013535448,0.012866352,0.009430283,0.013535448,0.012866352
,,27,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.012474704,0.013870628,0.013863494,0,0,0,0,0,0,0.013963685,0.013281902,0.00626563,0.013538215,0.013535448,0.012866352,0.009430283,0.013535448,0.012866352
,,28,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.012192709,0.013377962,0.013322817,0,0,0,0,0,0,0.013963685,0.013281902,0.00626563,0.013538215,0.013535448,0.012866352,0.009430283,0.013535448,0.012866352
,,29,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.011917088,0.012902796,0.012803228,0,0,0,0,0,0,0.013963685,0.013281902,0.00626563,0.013538215,0.013535448,0.012866352,0.009430283,0.013535448,0.012866352
,,30,0.006020819,0.017428202,0.0226,0.014,0.011287464,0.011688716,0.005,0.0125,0.016849537,0.0125,0.011647698,0.012444507,0.012303902,0,0,0,0,0,0,0.013963685,0.013281902,0.00626563,0.013538215,0.013535448,0.012866352,0.009430283,0.013535448,0.012866352
,,31,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.011384398,0.012002495,0.011824049,0,0,0,0,0,0,0.01096816,0.010244149,0.003737251,0.011998537,0.011887224,0.00993686,0.008877857,0.011887224,0.00993686
,,32,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.011127049,0.011576183,0.011362912,0,0,0,0,0,0,0.01096816,0.010244149,0.003737251,0.011998537,0.011887224,0.00993686,0.008877857,0.011887224,0.00993686
,,33,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010875518,0.011165014,0.010919758,0,0,0,0,0,0,0.01096816,0.010244149,0.003737251,0.011998537,0.011887224,0.00993686,0.008877857,0.011887224,0.00993686
,,34,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010629673,0.010768448,0.010493887,0,0,0,0,0,0,0.01096816,0.010244149,0.003737251,0.011998537,0.011887224,0.00993686,0.008877857,0.011887224,0.00993686
,,35,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.010389385,0.010385968,0.010084626,0,0,0,0,0,0,0.01096816,0.010244149,0.003737251,0.011998537,0.011887224,0.00993686,0.008877857,0.011887224,0.00993686
,,36,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.01015453,0.010017073,0.009691325,0,0,0,0,0,0,0.008615243,0.007901172,0.002229152,0.010633963,0.010439706,0.007674373,0.008357792,0.010439706,0.007674373
,,37,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009924983,0.00966128,0.009313364,0,0,0,0,0,0,0.008615243,0.007901172,0.002229152,0.010633963,0.010439706,0.007674373,0.008357792,0.010439706,0.007674373
,,38,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009700625,0.009318125,0.008950143,0,0,0,0,0,0,0.008615243,0.007901172,0.002229152,0.010633963,0.010439706,0.007674373,0.008357792,0.010439706,0.007674373
,,39,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.009481339,0.008987158,0.008601087,0,0,0,0,0,0,0.008615243,0.007901172,0.002229152,0.010633963,0.010439706,0.007674373,0.008357792,0.010439706,0.007674373
