,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,Shrub_MaxRoot010,C3_MaxRoot010,C4_MaxRoot010,Shrub_MaxRoot025,C3_MaxRoot025,C4_MaxRoot025,Shrub_MaxRoot050,C3_MaxRoot050,C4_MaxRoot050,Shrub_MaxRoot100,C3_MaxRoot100,C4_MaxRoot100,Shrub_MaxRoot200,C3_MaxRoot200,C4_MaxRoot200
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,MaxRoot010,,,MaxRoot025,,,MaxRoot050,,,MaxRoot100,,,MaxRoot200,,
,,74,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004259101,0.002534588,0.002137332,0,0,0,0,0,0,0,0,0,0.004567339,0.004206714,0.001257764,0.005477415,0.004206714,0.001257764
,,75,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.004162822,0.002444563,0.002053976,0,0,0,0,0,0,0,0,0,0.004567339,0.004206714,0.001257764,0.005477415,0.004206714,0.001257764
,,76,0.002666061,0.00504449,0,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.00406872,0.002357735,0.001973871,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,77,0.002666061,0.00504449,0,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003976745,0.002273992,0.00189689,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,78,0.002666061,0.00504449,0,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003886849,0.002193223,0.001822911,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,79,0.002666061,0.00504449,0,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003798986,0.002115323,0.001751817,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,80,0.002666061,0.00504449,0,0.001333333,0.002319047,0.001831562,0.005,0.005,0.001238582,0.005,0.003713108,0.002040189,0.001683497,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,81,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003629172,0.001967725,0.00161784,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,82,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003547133,0.001897834,0.001554744,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,83,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003466949,0.001830426,0.001494109,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,84,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003388578,0.001765411,0.001435839,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,85,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003311977,0.001702706,0.001379841,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,86,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003237109,0.001642229,0.001326028,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,87,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003163933,0.001583899,0.001274313,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,88,0.002666061,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003092411,0.001527641,0.001224614,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,89,0,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.003022506,0.001473381,0.001176854,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,90,0,0.000871862,0,0.001333333,0.002319047,0.001831562,0.005,0.002,0.000395293,0.002,0.002954181,0.001421049,0.001130957,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,91,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002887401,0.001370575,0.00108685,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,92,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.00282213,0.001321894,0.001044463,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,93,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002758335,0.001274943,0.001003729,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,94,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002695982,0.001229658,0.000964583,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,95,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002635038,0.001185983,0.000926964,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,96,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002575472,0.001143858,0.000890813,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,97,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002517253,0.00110323,0.000856071,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,98,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002460349,0.001064045,0.000822684,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,99,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002404732,0.001026251,0.0007906,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,100,0,0.000871862,0,0,0.000158117,0.00000807,0.005,0.002,0.000395293,0.002,0.002350372,0.0009898,0.000759766,0,0,0,0,0,0,0,0,0,0.00318655,0.002947883,0.000453269,0.004586774,0.002947883,0.000453269
,,101,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002297241,0.000954644,0.000730135,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,102,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002245311,0.000920736,0.00070166,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,103,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002194555,0.000888033,0.000674295,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,104,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002144946,0.000856491,0.000647998,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,105,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002096459,0.00082607,0.000622726,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,106,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002049068,0.000796729,0.00059844,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,107,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.002002748,0.000768431,0.0005751,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,108,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001957475,0.000741137,0.000552672,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,109,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001913226,0.000714813,0.000531117,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,110,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001869976,0.000689424,0.000510404,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,111,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001827705,0.000664936,0.000490498,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,112,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001786389,0.000641319,0.000471369,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,113,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001746007,0.00061854,0.000452985,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,114,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001706538,0.00059657,0.000435319,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,115,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001667961,0.000575381,0.000418341,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,116,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001630256,0.000554944,0.000402026,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,117,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001593404,0.000535233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,118,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001557384,0.000516223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,119,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001522179,0.000497887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,120,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001487769,0.000480203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,121,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001454138,0.000463147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,122,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001421267,0.000446696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,123,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001389138,0.00043083,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,124,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001357736,0.000415528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,125,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001327044,0.000400769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391755,0,0
,,126,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001297046,0.000386534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,127,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001267726,0.000372805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,128,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001239068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,129,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001211059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,130,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001183682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,131,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001156925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,132,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001130772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,133,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001105211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,134,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001080227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,135,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001055808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,136,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001031941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,137,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.001008614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,138,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000985813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,139,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000963529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,140,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000941748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,141,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000920459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,142,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000899652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,143,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000879315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,144,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000859438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,145,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.00084001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,146,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000821021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,147,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000802462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,148,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000784322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,149,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000766592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,150,0,0.000299494,0,0,0.000158117,0.00000807,0.005,0.0002,0.000158117,0.0002,0.000749263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002508082,0,0
,,151,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000732325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,152,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000715771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,153,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000699591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,154,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000683776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,155,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000668319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,156,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000653212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,157,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000638445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,158,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000624013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,159,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000609907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,160,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00059612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,161,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000582644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,162,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000569474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,163,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.0005566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,164,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000544018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,165,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000531721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,166,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000519701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,167,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000507953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,168,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00049647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,169,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000485247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,170,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000474278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,171,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000463557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,172,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000453078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,173,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000442836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,174,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000432826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,175,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000423041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001854637,0,0
,,176,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000413478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,177,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000404132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,178,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000394996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,179,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000386067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,180,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00037734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,181,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00036881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,182,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000360473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,183,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000352324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,184,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00034436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,185,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000336575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,186,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000328967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,187,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000321531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,188,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000314262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,189,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000307158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,190,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000300215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,191,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000293428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,192,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000286795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,193,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000280312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,194,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000273976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,195,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000267782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,196,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000261729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,197,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000255813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,198,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.00025003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,199,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000244378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,200,0,0.0000207,0,0,0.000158117,0.00000807,0.005,0,0,0,0.000238854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001331914,0,0
,,201,0,0,0,0,0,0,0,0,0,0,0.000233454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
